trial_index,filename,original_emotion,perceived_emotion_majority,perceived_emotion_total_responses,perceived_prop_Positive,perceived_count_Positive,perceived_prop_Neutral,perceived_count_Neutral,perceived_prop_Negative,perceived_count_Negative,viewing_mean_fixation_count,viewing_mean_dwell_time_s,viewing_mean_mean_fixation_duration_ms,viewing_mean_fixation_density_per_megapixel,aoi_mean_face_area_normalized_density,aoi_mean_text_area_normalized_density,aoi_mean_face_dwell_proportion,aoi_mean_text_dwell_proportion,aoi_mean_face_fixation_proportion,aoi_mean_text_fixation_proportion,aoi_mean_face_ttff_ms,aoi_mean_text_ttff_ms,CC,SIM,KL_empirical_to_prediction,AUC_Judd,NSS,n_fixations_for_auc_nss,efficientnet_true_label,efficientnet_predicted_label,efficientnet_predicted_probability,intended_matches_perceived_majority,intended_matches_efficientnet,deepgaze_nss_agreement_level,deepgaze_auc_agreement_level,semantic_attention_emphasis
17,1123_orig_1359.jpg,Positive,Positive,36,0.4722222222222222,17,0.4722222222222222,17,0.05555555555555555,2,46.833333333333336,7.557992902769267,161.63361970780358,86.45685649023315,,1.256862701193627,0.0,0.39484964020496627,0.0,0.389500381232417,,1139.1598055699571,0.5439867821941252,0.611215376814182,0.5157780948542682,0.6865129878622197,0.5846432917449762,1686,Positive,Positive,0.3789141476154327,True,True,weak,moderate,text_more_than_face
18,1292_orig_1629.jpg,Negative,Neutral,36,0.1388888888888889,5,0.8055555555555556,29,0.05555555555555555,2,43.861111111111114,7.1686696388622,163.16127506681028,30.083066605700353,,,0.0,0.0,0.0,0.0,,,0.6703474623579616,0.5405675864031348,0.7118197434380931,0.7505180723435784,0.5836112252767806,1579,Negative,Positive,0.421455830335617,False,False,weak,strong,equal_face_text
19,722_orig_821.jpg,Neutral,Neutral,36,0.19444444444444445,7,0.7777777777777778,28,0.027777777777777776,1,45.77777777777778,7.407963722241703,162.9450235418635,31.39765279682975,,1.8895076165332183,0.0,0.3607424899220135,0.0,0.36141822606749,,411.9249722204125,0.5155805151015775,0.566672536805209,0.6252468789548423,0.7817594590246159,0.7401545120342884,1648,Neutral,Neutral,0.3568575978279114,True,True,weak,strong,text_more_than_face
20,1134_orig_1370.jpg,Positive,Neutral,36,0.1111111111111111,4,0.5277777777777778,19,0.3611111111111111,13,47.47222222222222,7.57229127773169,160.35067861096036,67.84459815672301,,2.461772495602339,0.0,0.45299469787766544,0.0,0.4502554170842567,,522.7405833290201,0.8584714741128855,0.7282209389193913,0.4435750911470348,0.764963968730516,1.2195288482078408,1709,Positive,Neutral,0.4215613901615143,False,False,moderate,strong,text_more_than_face
21,324_orig_423.jpg,Negative,Neutral,36,0.25,9,0.7222222222222222,26,0.027777777777777776,1,44.25,7.348775152839952,166.55999992559654,37.93724279835391,1.2257585420020787,,0.011647376894768297,0.0,0.013657371409344138,0.0,2938.397749994086,,0.5017418113219805,0.5423402298000423,0.7454834343258576,0.7949426560873982,0.3411539714199876,1593,Negative,Negative,0.3674003183841705,False,True,weak,strong,face_more_than_text
22,33_orig_32.jpg,Positive,Positive,35,0.6857142857142857,24,0.2857142857142857,10,0.02857142857142857,1,45.77142857142857,7.410834742912055,162.28815972985942,108.10854583883325,,0.49194308227801387,0.0,0.044152537356987265,0.0,0.044307922728557284,,3391.502474992376,0.3686222187672571,0.5196105628974983,0.7370673345184735,0.6515289245341768,0.3332211653283126,1602,Positive,Positive,0.387053370475769,True,True,weak,moderate,text_more_than_face
23,873_orig_972.jpg,Neutral,Neutral,35,0.2,7,0.5428571428571428,19,0.2571428571428571,9,46.91428571428571,7.449741857161845,159.60341486974687,46.70876713887467,1.6155022418971787,0.36119367609064834,0.011036642641624414,0.00481827227634816,0.009785658741240962,0.005473644906188522,4967.537549984263,1810.4422000083334,0.4703859838175347,0.5865858496355012,0.6132981245089989,0.7617433220576275,0.557546705241378,1642,Neutral,Positive,0.3774389624595642,True,False,weak,strong,face_more_than_text
24,1322_orig_1659.jpg,Negative,Neutral,36,0.4444444444444444,16,0.5,18,0.05555555555555555,2,44.416666666666664,7.2963277777383615,165.40133904315962,30.46410608139003,4.215064886853054,0.5275233781833476,0.13059678101515815,0.014927661076328964,0.13239582411407574,0.014565144795712501,1934.1895961539728,3697.3880500003133,0.3934047201417525,0.435666937964376,1.361880655369904,0.6565746169992946,0.2875926375475613,1599,Negative,Positive,0.4237262606620788,False,False,weak,moderate,face_more_than_text
25,130_orig_129.jpg,Neutral,Neutral,35,0.2571428571428571,9,0.6857142857142857,24,0.05714285714285714,2,45.142857142857146,7.433865085692934,164.87385945627054,38.702723887909066,,2.0743312856035714,0.0,0.06954701429330276,0.0,0.06846146876765695,,3064.544814815042,0.5714962315485677,0.5623654150286879,0.6483825739296172,0.7611670465910089,0.4913358770173653,1580,Neutral,Neutral,0.3397538363933563,True,True,weak,strong,text_more_than_face
26,184_orig_183.jpg,Negative,Positive,35,0.5428571428571428,19,0.42857142857142855,15,0.02857142857142857,1,44.05714285714286,7.07089245713292,161.2060136452515,37.77189888300999,,0.23506265642062993,0.0,0.0042139807762296595,0.0,0.003940886699507388,,7763.904999999795,0.2995670959817989,0.4623713205993575,0.8584793375020019,0.6403316127718675,0.0001807164940202,1542,Negative,Positive,0.3916005194187164,False,False,weak,moderate,text_more_than_face
