participant,filename,response_value,response_emotion_raw,response_emotion,is_no_response,trial_index
U30,262_orig_261.jpg,,NO RESPONDE,,True,28
U30,198_orig_197.jpg,,NO RESPONDE,,True,29
U30,746_orig_845.jpg,,NO RESPONDE,,True,30
U30,82_orig_81.jpg,,NO RESPONDE,,True,31
U30,292_orig_291.jpg,,NO RESPONDE,,True,32
U30,916_orig_1094.jpg,,NO RESPONDE,,True,33
U30,251_orig_250.jpg,,NO RESPONDE,,True,34
U30,573_orig_672.jpg,,NO RESPONDE,,True,35
U30,58_orig_57.jpg,,NO RESPONDE,,True,36
U30,760_orig_859.jpg,,NO RESPONDE,,True,37
U30,432_orig_531.jpg,,NO RESPONDE,,True,39
U30,779_orig_878.jpg,,NO RESPONDE,,True,40
U30,5_orig_4.jpg,,NO RESPONDE,,True,41
U30,850_orig_949.jpg,,NO RESPONDE,,True,43
U30,1120_orig_1356.jpg,,NO RESPONDE,,True,44
U30,264_orig_263.jpg,,NO RESPONDE,,True,45
U30,87_orig_86.jpg,,NO RESPONDE,,True,46
U30,1155_orig_1391.jpg,,NO RESPONDE,,True,47
U30,704_orig_803.jpg,,NO RESPONDE,,True,48
U30,250_orig_249.jpg,,NO RESPONDE,,True,50
U30,153_orig_152.jpg,,NO RESPONDE,,True,51
U30,26_orig_25.jpg,,NO RESPONDE,,True,53
U30,71_orig_70.jpg,,NO RESPONDE,,True,54
U30,78_orig_77.jpg,,NO RESPONDE,,True,56
U30,10_orig_9.jpg,,NO RESPONDE,,True,58
U30,205_orig_204.jpg,,NO RESPONDE,,True,59
U30,1054_orig_1290.jpg,,NO RESPONDE,,True,60
U32,796_orig_895.jpg,,NO RESPONDE,,True,12
U33,906_orig_1037.jpg,,NO RESPONDE,,True,1
U33,790_orig_889.jpg,,NO RESPONDE,,True,3
U33,51_orig_50.jpg,,NO RESPONDE,,True,4
U33,1150_orig_1386.jpg,,NO RESPONDE,,True,6
U33,811_orig_910.jpg,,NO RESPONDE,,True,7
U33,859_orig_958.jpg,,NO RESPONDE,,True,8
U33,91_orig_90.jpg,,NO RESPONDE,,True,10
U33,272_orig_271.jpg,,NO RESPONDE,,True,11
U33,796_orig_895.jpg,,NO RESPONDE,,True,12
U33,41_orig_40.jpg,,NO RESPONDE,,True,13
U33,361_orig_460.jpg,,NO RESPONDE,,True,15
U33,640_orig_739.jpg,,NO RESPONDE,,True,16
U33,1123_orig_1359.jpg,,NO RESPONDE,,True,17
U33,1292_orig_1629.jpg,,NO RESPONDE,,True,18
U33,722_orig_821.jpg,,NO RESPONDE,,True,19
U33,1134_orig_1370.jpg,,NO RESPONDE,,True,20
U33,324_orig_423.jpg,,NO RESPONDE,,True,21
U33,33_orig_32.jpg,,NO RESPONDE,,True,22
U33,873_orig_972.jpg,,NO RESPONDE,,True,23
U33,184_orig_183.jpg,,NO RESPONDE,,True,26
U33,105_orig_104.jpg,,NO RESPONDE,,True,27
U33,262_orig_261.jpg,,NO RESPONDE,,True,28
U33,198_orig_197.jpg,,NO RESPONDE,,True,29
U33,82_orig_81.jpg,,NO RESPONDE,,True,31
U33,292_orig_291.jpg,,NO RESPONDE,,True,32
U33,916_orig_1094.jpg,,NO RESPONDE,,True,33
U33,251_orig_250.jpg,,NO RESPONDE,,True,34
U33,573_orig_672.jpg,,NO RESPONDE,,True,35
U33,58_orig_57.jpg,,NO RESPONDE,,True,36
