trial_index,filename,original_emotion,n_fixations_for_auc_nss,CC,SIM,KL_empirical_to_prediction,AUC_Judd,NSS,prediction_path,empirical_heatmap_path
48,704_orig_803.jpg,Negativo,1520,0.7137179860592828,0.6671291388482355,0.43798167093943974,0.60470693741461,0.07753684474805662,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\48_704_orig_803_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\704_orig_803.npy
49,726_orig_825.jpg,Neutral,1562,0.511461367608324,0.5847476227664075,0.5891410819894786,0.7638236455070632,0.527509029059622,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\49_726_orig_825_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\726_orig_825.npy
50,250_orig_249.jpg,Neutral,1486,0.67578585378961,0.6131302988257745,0.6267627834765517,0.8204907956252372,1.265952644558832,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\50_250_orig_249_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\250_orig_249.npy
51,153_orig_152.jpg,Positivo,1545,0.7061017234281969,0.5501869076603466,0.6526245276680533,0.7415700934740567,0.695676430287255,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\51_153_orig_152_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\153_orig_152.npy
52,831_orig_930.jpg,Neutral,1616,0.6618587648025585,0.6688950825054669,0.3551189940699334,0.7390674089431524,0.45399101028369276,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\52_831_orig_930_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\831_orig_930.npy
53,26_orig_25.jpg,Positivo,1522,0.6358023097107653,0.5238651277367864,0.8027268839046661,0.6826003013316224,0.331978057491716,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\53_26_orig_25_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\26_orig_25.npy
54,71_orig_70.jpg,Positivo,1500,0.49177605259836354,0.5756128055317449,0.6628577268588101,0.737163675870105,0.7515509239113817,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\54_71_orig_70_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\71_orig_70.npy
55,76_orig_75.jpg,Positivo,1598,0.9375184470891168,0.7977301116463515,0.24122560662427323,0.8248866462576422,1.5274637425821274,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\55_76_orig_75_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\76_orig_75.npy
56,78_orig_77.jpg,Positivo,1482,0.6415822776829481,0.6406143393493513,0.47009561697507346,0.7477239454872444,0.42606125708603504,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\56_78_orig_77_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\78_orig_77.npy
57,423_orig_522.jpg,Neutral,1580,0.7601962915310431,0.6327690974625229,0.46151079529057487,0.6853571888555278,0.09313068650953732,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\57_423_orig_522_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\423_orig_522.npy
58,10_orig_9.jpg,Positivo,1494,0.7867719356597987,0.6748513749023747,0.37934470818500415,0.8255253175238567,1.514574287131729,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\58_10_orig_9_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\10_orig_9.npy
59,205_orig_204.jpg,Positivo,1615,0.5757312929044824,0.566029330479303,0.7399133839408338,0.7408151592489681,0.7276108657412867,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\59_205_orig_204_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\205_orig_204.npy
60,1054_orig_1290.jpg,Neutral,1534,0.36035872245518685,0.4858062514823216,0.8257644306432803,0.81612651217123,0.6010165667052091,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\60_1054_orig_1290_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\1054_orig_1290.npy
